#{"t_start": 1755965729.7466593, "env_id": "PandaReach-v3"}
r,l,t
-1.0,2,504.974376
0.0,1,504.997634
-3.0,4,505.072172
-3.0,4,505.14705
-6.0,7,505.275375
-2.0,3,505.403127
-6.0,7,505.553844
-6.0,7,505.709754
-1.0,2,505.75446
-50.0,50,506.892766
-7.0,8,507.07927
-2.0,3,507.148624
-10.0,11,507.391971
-2.0,3,507.468356
-1.0,2,507.515941
-4.0,5,507.62976
-7.0,8,507.807484
-1.0,2,507.858835
-1.0,2,507.904661
-5.0,6,508.036076
-1.0,2,508.08072
-4.0,5,508.201393
0.0,1,508.224601
-3.0,4,508.315603
-5.0,6,508.432235
-3.0,4,508.512234
-3.0,4,508.584327
-3.0,4,508.656116
-6.0,7,508.785952
-1.0,2,508.830472
-2.0,3,508.887214
-5.0,6,508.998045
-3.0,4,509.069756
0.0,1,509.091599
-2.0,3,509.149014
-5.0,6,509.258497
-4.0,5,509.35049
-47.0,48,510.43712
-1.0,2,510.484493
-1.0,2,510.531054
0.0,1,510.555363
-2.0,3,510.631387
0.0,1,510.655701
-3.0,4,510.748024
-5.0,6,510.883557
0.0,1,510.911366
-3.0,4,511.002344
-3.0,4,511.091371
-5.0,6,511.224635
-2.0,3,511.297016
-2.0,3,511.366945
-3.0,4,511.455103
-3.0,4,511.54245
-3.0,4,511.638313
-5.0,6,511.770866
-3.0,4,511.859866
-5.0,6,511.993541
-1.0,2,512.04391
0.0,1,512.066964
-8.0,9,512.269238
-2.0,3,512.335472
-2.0,3,512.407634
-2.0,3,512.462114
-5.0,6,512.574412
-7.0,8,512.716107
-4.0,5,512.813065
-3.0,4,512.887944
-14.0,15,513.162896
-6.0,7,513.297705
-2.0,3,513.36086
-4.0,5,513.457983
-1.0,2,513.502971
-50.0,50,514.637757
-2.0,3,514.713943
-2.0,3,514.784945
-6.0,7,514.940854
0.0,1,514.964508
-1.0,2,515.015019
0.0,1,515.038131
-2.0,3,515.105095
-2.0,3,515.176801
-3.0,4,515.271848
-6.0,7,515.425007
-2.0,3,515.481291
-5.0,6,515.586481
-1.0,2,515.628137
